company,website,emails,phones,campaign_type,recommended_subject,first_email_angle,seminar_fit,sales_stage,follow_up_priority,follow_up_days
northernalbertafunerals.com,https://northernalbertafunerals.com,"chapelhp@cofm.ca, chapelpr@cofm.ca, mclennan153@hotmail.com","+1-800-778-7879, 20260727233003, 780-624-2686, 800) 952-5210, 801) 682-4391, 801-682-4391",Qualified Funeral Industry Prospect,Community grief education partnership opportunity,Introduce grief education seminars as an added family support resource,55,Sales Qualified Lead,Medium,7
legacyfuneralhome.ca,https://legacyfuneralhome.ca,"legacycardston@gmail.com, rememberingjuleesmall@outlook.com","1543359469, 1580322270, 1580322285, 1580322288, 1597851402, 1597851632, 1607989076, 1759592361, 1777043624, 1780342003, 1780419874, 1780420034, 1780594022, 1780594108, 1780693410, 1780693793, 1780930539, 1781029448, 1781029635, 1781032882, 1781039538, 1781039979, 1781115661, 1781276535, 1781276622, 1781294204, 1781318710, 1781318769, 1781728573, 1782069069, 1782233787, 1782233919, 1782318360, 1782680174, 1782683609, 1782858710, 1783045231, 1783349648, 1783349730, 1783363259, 1783439926, 1783447451, 1783459135, 1783459439, 1783627107, 1783709402, 1783709432, 1784222412, 1784819105, 1784907745, 403) 653-3222, 403) 653-3677, 403-653-3222",High Priority Grief Seminar Prospect,Grief information seminar opportunity for your families,Offer educational grief resources and support seminars for families served by the funeral home,85,Nurture Candidate,High,3
connelly-mckinley.com,https://connelly-mckinley.com,info@connelly-mckinley.com,"+17789022370, +17803770277, +17804222222, +17804222222) 24, +17804245493, +17804420974, +17804582222, +17804591500, +17804670971, +17804682222, +17804729007, +17804891602, +17805900626, +17809909738, +18002554786, +18002779914, +18002779915, 0509686201, 1-800-255-4786, 1-800-277-9914, 1-800-277-9915, 1800-277-9914, 2-8524-209663901, 20008401079, 23705219940, 2423271-9075-457, 3075904900, 331-0944-4091-9, 41-9861-52954, 5253850337, 54-4160-8394, 587) 604-6543, 6-8326-06295877, 700-0553-449, 778-902-2370, 780) 377-0277, 780) 422-2222, 780) 422-7330, 780) 424-5493, 780) 442-0974, 780) 458-2222, 780) 459-1500, 780) 460-9715, 780) 467-0971, 780) 468-2222, 780) 468-4286, 780) 472-9007, 780) 488-2012, 780) 489-1602, 780) 990-9738, 780-422-2222, 780-468-2222, 780-590-0626, 780-758-4433, 86380-0175-4, 89-8356-4682, 9-4768-9254-57",Qualified Funeral Industry Prospect,Community grief education partnership opportunity,Introduce grief education seminars as an added family support resource,45,Research Required,Medium,7
westlockfuneralhome.com,https://westlockfuneralhome.com,,"+17803493474, 20536906245, 22373263374, 3156368136, 780) 349-3474",Qualified Funeral Industry Prospect,Community grief education partnership opportunity,Introduce grief education seminars as an added family support resource,40,Nurture Candidate,Medium,7
northernlightsfs.ca,https://northernlightsfs.ca,,"+17808266083, +18889266083, 01306947-662, 1 (888) 926-6083, 3187733648, 3192882767, 36711546-98, 77-4326-9232-39336, 780) 826-6083",Qualified Funeral Industry Prospect,Community grief education partnership opportunity,Introduce grief education seminars as an added family support resource,40,Nurture Candidate,Medium,7
rockyfuneralhome.ca,https://rockyfuneralhome.ca,,403) 845-2626,Qualified Funeral Industry Prospect,Community grief education partnership opportunity,Introduce grief education seminars as an added family support resource,40,Nurture Candidate,Medium,7
cochranecountryfuneral.ca,https://cochranecountryfuneral.ca,,"+1-800-778-7879, 403-217-3700, 403-221-3660, 403-263-4525, 403-266-1234, 403-266-2911, 403-285-0660, 403-297-1700, 403-652-2110, 403-851-2500, 403-932-1039, 403-932-2944, 403-934-3133, 403-938-8958, 403-944-2274, 403-955-8011, 800) 952-5210, 801) 682-4391, 801-682-4391",Qualified Funeral Industry Prospect,Community grief education partnership opportunity,Introduce grief education seminars as an added family support resource,55,Nurture Candidate,Medium,7
southlandfuneral.com,https://southlandfuneral.com,"scott@southlandfuneral.com, darryl@southlandfuneral.com, _scott@southlandfuneral.com, _darryl@southlandfuneral.com","1-403-297-6511, 1-506-533-5518, 1-780-422-0102, 1-800-272-8864, 1-800-277-9914, 1-866-644-5135, 1073266895, 1278046903, 1345971702, 1780066739, 1800-561-7930, 1853287412, 2079869768, 3173476628, 403) 223-8778, 4092)

1946 - 2026, 4093)

1926 - 2026, 4094)

1954 - 2026, 4095)

1949 - 2026, 4096)

1938 - 2026, 4097)

1947 - 2026, 4098)

1935 - 2026, 4099)

1937 - 2026, 4100)

1959 - 2026, 4101)

1945 - 2026",Qualified Funeral Industry Prospect,Community grief education partnership opportunity,Introduce grief education seminars as an added family support resource,55,Nurture Candidate,Medium,7
tributearchive.com,https://tributearchive.com,"copyright@tributetech.com, privacy@tributetech.com","1-833-303-1880, 527-4059-857, 866-303-1880",Qualified Funeral Industry Prospect,Community grief education partnership opportunity,Introduce grief education seminars as an added family support resource,40,Nurture Candidate,Medium,7
creechsfh.ca,https://creechsfh.ca,"admin@armoroflight.ca, wainwrightfoodbank1014@gmail.com","+17808424211, 01306947-662, 1  
(780) 842-3297, 1  
(780) 842-3355, 1  
(780) 842-6166, 1785208820, 1785208861, 1785208884, 2  
(780) 842-3371, 2  
(780) 842-4411, 2  
(780) 842-9154, 3  
(780) 261-3098, 3  
(780) 806-4777, 3  
(780) 842-3130, 3  
(780) 842-3358, 3  
(780) 842-4413, 3  
(780) 842-4416, 3517-4505-846, 4  
(780) 842-1370, 4  
(780) 842-2485, 4  
(780) 842-5010, 4  
(780) 842-6200, 4-4432664607, 5  
(780) 806-6192, 5  
(780) 842-4357, 5  
(780) 842-4487, 5  
(780) 842-8982, 5  
(780) 845-9993, 6  
(780) 842-4327, 7  
(780) 806-3083, 7  
(780) 842 5514, 7  
(780) 842-3232, 7  
(780) 842-3727, 7  
(780) 842-5357, 7  
(780) 845-9852, 780) 842-2459, 780) 842-2799, 780) 842-4211, 78565725587, 8  
(780) 842-3351, 855)-842-4218",Qualified Funeral Industry Prospect,Community grief education partnership opportunity,Introduce grief education seminars as an added family support resource,45,Nurture Candidate,Medium,7
