company,website,emails,phones,campaign_type,recommended_subject,first_email_angle,seminar_fit,sales_stage,follow_up_priority,follow_up_days
northernalbertafunerals.com,https://northernalbertafunerals.com,"chapelhp@cofm.ca, chapelpr@cofm.ca, mclennan153@hotmail.com","+1-800-778-7879, 780-624-2686, 800) 952-5210, 801) 682-4391, 801-682-4391",Qualified Funeral Industry Prospect,,,0,Sales Qualified Lead,,
legacyfuneralhome.ca,https://legacyfuneralhome.ca,"legacycardston@gmail.com, rememberingjuleesmall@outlook.com","403) 653-3222, 403) 653-3677, 403-653-3222",Research Prospect,,,0,Nurture Candidate,,
connelly-mckinley.com,https://connelly-mckinley.com,info@connelly-mckinley.com,"+17789022370, +17803770277, +17804222222, +17804245493, +17804420974, +17804582222, +17804591500, +17804670971, +17804682222, +17804729007, +17804891602, +17805900626, +17809909738, +18002554786, +18002779914, +18002779915, 1-800-255-4786, 1-800-277-9914, 1-800-277-9915, 1800-277-9914, 3075904900, 5253850337, 54-4160-8394, 587) 604-6543, 700-0553-449, 778-902-2370, 780) 377-0277, 780) 422-2222, 780) 422-7330, 780) 424-5493, 780) 442-0974, 780) 458-2222, 780) 459-1500, 780) 460-9715, 780) 467-0971, 780) 468-2222, 780) 468-4286, 780) 472-9007, 780) 488-2012, 780) 489-1602, 780) 990-9738, 780-422-2222, 780-468-2222, 780-590-0626, 780-758-4433, 86380-0175-4, 89-8356-4682",High Priority Grief Seminar Prospect,,,0,Research Required,,
westlockfuneralhome.com,https://westlockfuneralhome.com,,"+17803493474, 3156368136, 780) 349-3474",Qualified Funeral Industry Prospect,,,0,Nurture Candidate,,
northernlightsfs.ca,https://northernlightsfs.ca,,"+17808266083, +18889266083, 1 (888) 926-6083, 3187733648, 3192882767, 36711546-98, 780) 826-6083",Research Prospect,,,0,Nurture Candidate,,
rockyfuneralhome.ca,https://rockyfuneralhome.ca,,403) 845-2626,Qualified Funeral Industry Prospect,,,0,Nurture Candidate,,
cochranecountryfuneral.ca,https://cochranecountryfuneral.ca,,"+1-800-778-7879, 403-217-3700, 403-221-3660, 403-263-4525, 403-266-1234, 403-266-2911, 403-285-0660, 403-297-1700, 403-652-2110, 403-851-2500, 403-932-1039, 403-932-2944, 403-934-3133, 403-938-8958, 403-944-2274, 403-955-8011, 800) 952-5210, 801) 682-4391, 801-682-4391",High Priority Grief Seminar Prospect,,,0,Nurture Candidate,,
southlandfuneral.com,https://southlandfuneral.com,"_darryl@southlandfuneral.com, _scott@southlandfuneral.com, darryl@southlandfuneral.com, scott@southlandfuneral.com","1-403-297-6511, 1-506-533-5518, 1-780-422-0102, 1-800-272-8864, 1-800-277-9914, 1-866-644-5135, 1800-561-7930, 3173476628, 403) 223-8778",Qualified Funeral Industry Prospect,,,0,Nurture Candidate,,
tributearchive.com,https://tributearchive.com,"copyright@tributetech.com, privacy@tributetech.com","1-833-303-1880, 527-4059-857, 866-303-1880",Qualified Funeral Industry Prospect,,,0,Nurture Candidate,,
creechsfh.ca,https://creechsfh.ca,"admin@armoroflight.ca, wainwrightfoodbank1014@gmail.com","+17808424211, 1  
(780) 842-3297, 1  
(780) 842-3355, 1  
(780) 842-6166, 780) 842-2459, 780) 842-2799, 780) 842-4211, 855)-842-4218",Qualified Funeral Industry Prospect,,,0,Nurture Candidate,,
serenity.ca,https://serenity.ca,"choices@serenity.ca, fortsask@serenity.ca, info@serenity.ca, leduc@serenity.ca, prearrange@serenity.ca, help@cadenceco.com","+17803525300, +17804500101, +17809622749, +17809803688, +17809882929, +17809981422, 3159493837, 3160305496, 3160306813, 587) 599-1975, 587) 985-5462, 780) 314-8244, 780) 352-5300, 780) 352-8338, 780) 360-1670, 780) 430-7263, 780) 433-5084, 780) 435-2028, 780) 435-6611, 780) 437-2217, 780) 438-1222, 780) 438-1713, 780) 438-8852, 780) 450-0101, 780) 450-9248, 780) 462-1515, 780) 462-2101, 780) 465-4426, 780) 468-1985, 780) 496-6983, 780) 801-3580, 780) 887-0710, 780) 962-2543, 780) 962-2749, 780) 980-1282, 780) 980-3064, 780) 980-3688, 780) 986-0785, 780) 986-1055, 780) 986-1414, 780) 986-1455, 780) 986-1657, 780) 986-2038, 780) 986-2085, 780) 986-2688, 780) 986-3161, 780) 986-3253, 780) 986-3414, 780) 986-3447, 780) 986-3652, 780) 986-4119, 780) 986-5461, 780) 986-7855, 780) 986-9031, 780) 986-9299, 780) 987-2858, 780) 987-4323, 780) 988-1344, 780) 988-2929, 780) 990-4358, 780) 998-1422, 780) 998-1423",High Priority Grief Seminar Prospect,,,0,Research Required,,
prairierosefunerals.ca,https://prairierosefunerals.ca,,"1-403-216-5111, 14032165111",Research Prospect,,,0,Research Required,,
